instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,kategori
38,2011-02-07,Spring,2011,February,0,Monday,1,1,0.26483103698946564,0.29480259544694165,0.7592113110539845,0.047449931587376946,120,1592,1712,Sedang
39,2011-02-08,Spring,2011,February,0,Tuesday,1,1,0.20148937755611396,0.15643511435151103,0.5531280205655527,0.7000172964263193,64,1466,1530,Sedang
40,2011-02-09,Spring,2011,February,0,Wednesday,1,2,0.09426685337466227,0.08560139160312637,0.5087742930591259,0.3431398641807916,53,1552,1605,Sedang
41,2011-02-10,Spring,2011,February,0,Thursday,1,1,0.1061853129190619,0.09251241490187263,0.44975938303341895,0.4113690090508344,47,1491,1538,Sedang
42,2011-02-11,Spring,2011,February,0,Friday,1,1,0.1619372873461472,0.1764698624253504,0.5206827763496144,0.17761986742979846,149,1597,1746,Sedang
43,2011-02-12,Spring,2011,February,0,Saturday,0,1,0.2035665413888912,0.2019940500880515,0.5595547557840617,0.37309010036256524,288,1184,1472,Sedang
44,2011-02-13,Spring,2011,February,0,Sunday,0,1,0.32072256891461404,0.32165254446419805,0.4703249357326478,0.4916623597396918,397,1192,1589,Sedang
45,2011-02-14,Spring,2011,February,0,Monday,1,1,0.44343099118470114,0.41909862929402275,0.38646066838046267,0.8153776568516835,208,1705,1913,Sedang
46,2011-02-15,Spring,2011,February,0,Tuesday,1,1,0.25787808306811183,0.22997942838420926,0.3232370179948586,0.5545211600851258,140,1675,1815,Sedang
47,2011-02-16,Spring,2011,February,0,Wednesday,1,1,0.32288944828186034,0.3112656636735087,0.4354529562982005,0.4729187234948759,218,1897,2115,Sedang
48,2011-02-17,Spring,2011,February,0,Thursday,1,1,0.46938993187351213,0.45888197101071837,0.519280205655527,0.42820983224528025,259,2216,2475,Sedang
49,2011-02-18,Spring,2011,February,0,Friday,1,1,0.5763433094515564,0.5682572827615319,0.531277120822622,0.49999515535138866,579,2348,2927,Sedang
50,2011-02-19,Spring,2011,February,0,Saturday,0,1,0.423702295945132,0.40998106655269484,0.19323084832904883,1.0,532,1103,1635,Sedang
51,2011-02-20,Spring,2011,February,0,Sunday,0,1,0.281715002156911,0.2602435410481968,0.41935835475578404,0.41404902743163735,639,1173,1812,Sedang
52,2011-02-21,Spring,2011,February,1,Monday,0,2,0.30428842746860396,0.2690972641536182,0.6221079691516709,0.5884790545225002,195,912,1107,Sedang
53,2011-02-22,Spring,2011,February,0,Tuesday,1,1,0.15337817614797877,0.1404039030414278,0.5941161953727506,0.357249130179419,74,1376,1450,Sedang
54,2011-02-23,Spring,2011,February,0,Wednesday,1,1,0.2026182980315166,0.21874721065061536,0.4350056555269923,0.147857232534681,139,1778,1917,Sedang
55,2011-02-24,Spring,2011,February,0,Thursday,1,2,0.2947175244094787,0.27581270483669235,0.7171115681233933,0.47024901287707604,100,1707,1807,Sedang
56,2011-02-25,Spring,2011,February,0,Friday,1,2,0.38031611268570187,0.3562378515630332,0.7323125964010282,0.6682467092982002,120,1341,1461,Sedang
57,2011-02-26,Spring,2011,February,0,Saturday,0,1,0.27832948677979297,0.2666255724401254,0.5531280205655527,0.3384642628825906,424,1545,1969,Sedang
58,2011-02-27,Spring,2011,February,0,Sunday,0,1,0.3543110681805665,0.35708843904595583,0.699228791773779,0.21204367275491254,694,1708,2402,Sedang
59,2011-02-28,Spring,2011,February,0,Monday,1,2,0.4338027698674429,0.42141936798199686,0.901145501285347,0.551041259295283,81,1365,1446,Sedang
60,2011-03-01,Spring,2011,March,0,Tuesday,1,1,0.25860079154022386,0.24258728760252984,0.5501285347043702,0.400009854221431,137,1714,1851,Sedang
61,2011-03-02,Spring,2011,March,0,Wednesday,1,1,0.3437470639968321,0.3163468737759678,0.46229614395886887,0.5884522543386922,231,1903,2134,Sedang
62,2011-03-03,Spring,2011,March,0,Thursday,1,1,0.1734532730345258,0.15891205660502178,0.3273347043701799,0.41924207843259337,123,1562,1685,Sedang
63,2011-03-04,Spring,2011,March,0,Friday,1,2,0.25237054609098203,0.2318236805655461,0.627678149100257,0.3730468077579523,214,1730,1944,Sedang
64,2011-03-05,Spring,2011,March,0,Saturday,0,2,0.40501155959740653,0.3934090496207534,0.8114827763496143,0.4730836477029254,640,1437,2077,Sedang
65,2011-03-06,Spring,2011,March,0,Sunday,0,2,0.3954855143055159,0.37696567091925404,0.9750755784061697,0.6615425402409915,114,491,605,Rendah
66,2011-03-07,Spring,2011,March,0,Monday,1,1,0.2524602616254511,0.20922273105788924,0.5668935732647815,0.6575534359587962,244,1628,1872,Sedang
67,2011-03-08,Spring,2011,March,0,Tuesday,1,1,0.29078997767827663,0.2931513006112678,0.4327331619537275,0.2025646538972724,316,1817,2133,Sedang
68,2011-03-09,Spring,2011,March,0,Wednesday,1,2,0.29494305929474124,0.2724221686200425,0.7973439588688945,0.4076891376587319,191,1700,1891,Sedang
69,2011-03-10,Spring,2011,March,0,Thursday,1,3,0.41114710531581994,0.40245179216682436,0.0,0.49371154302470593,46,577,623,Rendah
70,2011-03-11,Spring,2011,March,0,Friday,1,2,0.32072256891461404,0.2965641516229944,0.6679331619537274,0.43411824199865057,247,1730,1977,Sedang
71,2011-03-12,Spring,2011,March,0,Saturday,0,1,0.33647885965574653,0.3238013279665813,0.6113964010282775,0.40897760803411787,724,1408,2132,Sedang
72,2011-03-13,Spring,2011,March,0,Sunday,0,1,0.40523709448266915,0.39513122674667084,0.5423043701799486,0.5117027125702964,982,1435,2417,Sedang
73,2011-03-14,Spring,2011,March,0,Monday,1,1,0.33155696575084553,0.3320052967447702,0.5110097686375321,0.2361184840249258,359,1687,2046,Sedang
74,2011-03-15,Spring,2011,March,0,Tuesday,1,2,0.3218053855736922,0.31386205571243,0.6741922879177378,0.33380103089999347,289,1767,2056,Sedang
75,2011-03-16,Spring,2011,March,0,Wednesday,1,2,0.3813989293447801,0.3778556374523119,0.798480205655527,0.37257471221241084,321,1871,2192,Sedang
76,2011-03-17,Spring,2011,March,0,Thursday,1,1,0.44343099118470114,0.4348279345530687,0.6199660668380462,0.3858964651176023,424,2320,2744,Sedang
77,2011-03-18,Spring,2011,March,0,Friday,1,1,0.5991871274157465,0.5879809363393024,0.5400688946015424,0.43009202976964417,884,2355,3239,Sedang
78,2011-03-19,Spring,2011,March,0,Saturday,0,1,0.515078813850982,0.5085875207265067,0.3898889460154241,0.7128339689443595,1424,1693,3117,Sedang
79,2011-03-20,Spring,2011,March,0,Sunday,0,1,0.3406319412722112,0.3238013279665813,0.487146529562982,0.38206610038565464,1047,1424,2471,Sedang
80,2011-03-21,Summer,2011,March,0,Monday,1,2,0.4626637588865106,0.4340429788203717,0.7582426735218509,0.5491796772969253,401,1676,2077,Sedang
81,2011-03-22,Summer,2011,March,0,Tuesday,1,1,0.47665938226368737,0.47461258890476876,0.6422447300771208,0.41923383222219085,460,2243,2703,Sedang
82,2011-03-23,Summer,2011,March,0,Wednesday,1,2,0.35864607296414897,0.3398010360365563,0.863305912596401,0.43677970640604796,203,1918,2121,Sedang
83,2011-03-24,Summer,2011,March,0,Thursday,1,2,0.28144460950441386,0.2517153514238939,0.8286200514138817,0.456418056479532,166,1699,1865,Sedang
84,2011-03-25,Summer,2011,March,0,Friday,1,1,0.2554856688156029,0.23265457852340105,0.5089974293059125,0.4294900564102639,300,1910,2210,Sedang
85,2011-03-26,Summer,2011,March,0,Saturday,0,1,0.2575615865992903,0.23430718599407946,0.4053131105398457,0.3858799726967974,981,1515,2496,Sedang
86,2011-03-27,Summer,2011,March,0,Sunday,0,2,0.2416246187401298,0.22481420964146154,0.5078796915167095,0.3337824769265879,472,1221,1693,Sedang
87,2011-03-28,Summer,2011,March,0,Monday,1,1,0.25571120370086553,0.23431112389909303,0.310718766066838,0.39130804069422376,222,1806,2028,Sedang
88,2011-03-29,Summer,2011,March,0,Tuesday,1,1,0.30325046857676025,0.2806917691484569,0.32305089974293055,0.4218025267625605,317,2108,2425,Sedang
89,2011-03-30,Summer,2011,March,0,Wednesday,1,2,0.30013534585213936,0.28652249383849127,0.6649532133676093,0.3102560386483389,168,1368,1536,Sedang
90,2011-03-31,Summer,2011,March,0,Thursday,1,3,0.26067670932391124,0.2343124365340975,0.9443012853470436,0.4025270099467852,179,1506,1685,Sedang
91,2011-04-01,Summer,2011,April,0,Friday,1,2,0.30013534585213936,0.2682821178158173,0.705655526992288,0.48717848283334847,307,1920,2227,Sedang
92,2011-04-02,Summer,2011,April,0,Saturday,0,2,0.3188260821998648,0.31052665016596953,0.6722365038560412,0.36026518163412263,898,1354,2252,Sedang
93,2011-04-03,Summer,2011,April,0,Sunday,0,1,0.3977421092072312,0.39339329800069933,0.49357326478149094,0.3294800166490989,1651,1598,3249,Sedang
94,2011-04-04,Summer,2011,April,0,Monday,1,1,0.640721681727662,0.608878085611105,0.4383033419023136,0.7487132304055095,734,2381,3115,Sedang
95,2011-04-05,Summer,2011,April,0,Tuesday,1,2,0.4423930322928575,0.41909862929402275,0.6602395886889459,0.7538588656966513,167,1628,1795,Sedang
96,2011-04-06,Summer,2011,April,0,Wednesday,1,1,0.41331772283033574,0.40499830407557413,0.48414704370179945,0.4961565444090384,413,2395,2808,Sedang
97,2011-04-07,Summer,2011,April,0,Thursday,1,1,0.47146709570628936,0.46549502616344085,0.6199660668380462,0.2884530583442063,571,2570,3141,Sedang
98,2011-04-08,Summer,2011,April,0,Friday,1,2,0.34478502288867574,0.32213296887584886,0.8598971722365039,0.421794280552158,172,1299,1471,Sedang
99,2011-04-09,Summer,2011,April,0,Saturday,0,2,0.35309243217069486,0.344513395702748,0.9023136246786632,0.2281959373807521,879,1576,2455,Sedang
100,2011-04-10,Summer,2011,April,0,Sunday,0,2,0.45796864591596204,0.4563603991670543,0.8817480719794344,0.2564062231676045,1188,1707,2895,Sedang
101,2011-04-11,Summer,2011,April,0,Monday,1,2,0.6685322513639875,0.6381340945916286,0.7372298200514139,0.622758551165571,855,2493,3348,Sedang
102,2011-04-12,Summer,2011,April,0,Tuesday,1,2,0.5524602865464329,0.5434104147611581,0.7600688946015424,0.520515849937937,257,1777,2034,Sedang
103,2011-04-13,Summer,2011,April,0,Wednesday,1,2,0.44031586846008025,0.4439507478344147,0.8423311053984576,0.4704984607417508,209,1953,2162,Sedang
104,2011-04-14,Summer,2011,April,0,Thursday,1,1,0.5088485684017402,0.5036218225044445,0.5556987146529563,0.1820522055211265,529,2738,3267,Sedang
105,2011-04-15,Summer,2011,April,1,Friday,0,1,0.48288962771292926,0.47628094799550125,0.6902313624678663,0.4205223025975769,642,2484,3126,Sedang
106,2011-04-16,Summer,2011,April,0,Saturday,0,3,0.46315968642427036,0.454726168586439,0.9134529562982006,0.6564319513440602,121,674,795,Rendah
107,2011-04-17,Summer,2011,April,0,Sunday,0,1,0.4953501186114129,0.4812466462175634,0.493144473007712,0.5795113007098133,1558,2186,3744,Sedang
108,2011-04-18,Summer,2011,April,0,Monday,1,1,0.5649207774449164,0.5566575272266752,0.5578406169665809,0.2910403068579815,669,2760,3429,Sedang
109,2011-04-19,Summer,2011,April,0,Tuesday,1,2,0.5566133681628974,0.5384276522840373,0.6846611825192802,0.279503858504925,409,2795,3204,Sedang
110,2011-04-20,Summer,2011,April,0,Wednesday,1,1,0.6677198273574064,0.6370511707129077,0.6315341902313625,0.4525794455371819,613,3331,3944,Sedang
111,2011-04-21,Summer,2011,April,0,Thursday,1,1,0.4984652413360338,0.4920050027145292,0.41859434447300764,0.6243748084044553,745,3444,4189,Sedang
112,2011-04-22,Summer,2011,April,0,Friday,1,2,0.3458242278296093,0.3188185654894606,0.7502138817480719,0.4063924210729433,177,1506,1683,Sedang
113,2011-04-23,Summer,2011,April,0,Saturday,0,2,0.4995032002278775,0.4870550561125211,0.9130251928020565,0.4294900564102639,1462,2574,4036,Sedang
114,2011-04-24,Summer,2011,April,0,Sunday,0,2,0.6511062548424583,0.6204739032409483,0.833761439588689,0.35001720365645217,1710,2481,4191,Sedang
115,2011-04-25,Summer,2011,April,0,Monday,1,1,0.6822574820886673,0.650319285338497,0.7986293059125964,0.335912060763026,773,3300,4073,Sedang
116,2011-04-26,Summer,2011,April,0,Tuesday,1,1,0.7134087093348764,0.6760246166318206,0.749786118251928,0.6269352567344224,678,3722,4400,Sedang
117,2011-04-27,Summer,2011,April,0,Wednesday,1,2,0.6988710546036155,0.6511619970113925,0.8590406169665809,0.5974550545455896,547,3325,3872,Sedang
118,2011-04-28,Summer,2011,April,0,Thursday,1,2,0.6957559318789948,0.6561329457734727,0.7206508997429306,0.6154070545917684,569,3489,4058,Sedang
119,2011-04-29,Summer,2011,April,0,Friday,1,1,0.5618056547202956,0.5491978224960437,0.4700082262210797,0.4487408345948318,878,3717,4595,Sedang
120,2011-04-30,Summer,2011,April,0,Saturday,0,1,0.515078813850982,0.5053006826752131,0.5175660668380463,0.4384578102229508,1965,3347,5312,Tinggi
121,2011-05-01,Summer,2011,May,0,Sunday,0,2,0.48911987316217104,0.484538734808875,0.7836329048843187,0.17309269791884205,1138,2213,3351,Sedang
122,2011-05-02,Summer,2011,May,0,Monday,1,2,0.6106096594223864,0.5956257226055699,0.7506426735218509,0.3320384034264654,847,3554,4401,Sedang
123,2011-05-03,Summer,2011,May,0,Tuesday,1,2,0.694717972987151,0.6602677460376799,0.7167948586118251,0.6602643776286085,603,3848,4451,Sedang
124,2011-05-04,Summer,2011,May,0,Wednesday,1,2,0.4423930322928575,0.42736822982243716,0.7579259640102828,0.6320808920255642,255,2378,2633,Sedang
125,2011-05-05,Summer,2011,May,0,Thursday,1,1,0.4984652413360338,0.47628619853551935,0.4567269922879177,0.5628044784344075,614,3819,4433,Sedang
126,2011-05-06,Summer,2011,May,0,Friday,1,1,0.523386223133001,0.5185530456807482,0.6066838046272492,0.4243794675133326,894,3714,4608,Sedang
127,2011-05-07,Summer,2011,May,0,Saturday,0,1,0.5742661456187793,0.5690947438944095,0.5565552699228792,0.2846144474018562,1612,3102,4714,Sedang
128,2011-05-08,Summer,2011,May,0,Sunday,0,1,0.5846494726844857,0.5773800960428779,0.6495290488431876,0.1077074648613513,1401,2932,4333,Sedang
129,2011-05-09,Summer,2011,May,0,Monday,1,1,0.5898417592418838,0.5856667608263509,0.6053984575835475,0.31667159034146114,664,3698,4362,Sedang
130,2011-05-10,Summer,2011,May,0,Tuesday,1,1,0.5898417592418838,0.5823523574399626,0.5029994858611825,0.192300183498797,694,4109,4803,Sedang
131,2011-05-11,Summer,2011,May,0,Wednesday,1,1,0.6023022501403674,0.5898068116305761,0.6508143958868894,0.20254816147646748,550,3632,4182,Sedang
132,2011-05-12,Summer,2011,May,0,Thursday,1,1,0.5929568819665048,0.5831950691128582,0.7686375321336761,0.344846829734103,695,4169,4864,Sedang
133,2011-05-13,Summer,2011,May,0,Friday,1,2,0.5649207774449164,0.5450459579767779,0.8877460154241645,0.32435087377876204,692,3413,4105,Sedang
134,2011-05-14,Summer,2011,May,0,Saturday,0,2,0.575304104510623,0.5533536249203229,0.948586118251928,0.23204485608610526,902,2507,3409,Sedang
135,2011-05-15,Summer,2011,May,0,Sunday,0,2,0.6272232319373346,0.5997828376648537,0.8916020565552699,0.2692125879226415,1582,2971,4553,Sedang
136,2011-05-16,Summer,2011,May,0,Monday,1,1,0.6459139682850602,0.618831796850306,0.8101974293059125,0.21538957262571506,773,3185,3958,Sedang
137,2011-05-17,Summer,2011,May,0,Tuesday,1,2,0.626185273045491,0.6031024915912602,0.8616113110539846,0.5256181926244657,678,3445,4123,Sedang
138,2011-05-18,Summer,2011,May,0,Wednesday,1,2,0.6116476183142302,0.5881765189549745,0.8946015424164524,0.3692246892364071,536,3319,3855,Sedang
139,2011-05-19,Summer,2011,May,0,Thursday,1,2,0.5877645954091065,0.5666283027209348,0.8530416452442159,0.17692512420339032,735,3840,4575,Sedang
140,2011-05-20,Summer,2011,May,0,Friday,1,1,0.5950340457992819,0.5906495233034716,0.7399311053984575,0.21155920789376742,909,4008,4917,Sedang
141,2011-05-21,Summer,2011,May,0,Saturday,0,1,0.6770651955312693,0.6470048819521087,0.6443876606683804,0.2025646538972724,2258,3547,5805,Tinggi
142,2011-05-22,Summer,2011,May,0,Sunday,0,1,0.6791423593640464,0.650319285338497,0.7707794344473007,0.258964609944971,1576,3084,4660,Sedang
143,2011-05-23,Summer,2011,May,0,Monday,1,2,0.7134087093348764,0.6710536678697404,0.8329048843187661,0.4359159158663891,836,3438,4274,Sedang
144,2011-05-24,Summer,2011,May,0,Tuesday,1,2,0.7487130181975502,0.6901091902302151,0.761782005141388,0.38076938379986613,659,3833,4492,Sedang
145,2011-05-25,Summer,2011,May,0,Wednesday,1,1,0.7497509770893938,0.7041924511936052,0.7159383033419023,0.27179777488381607,740,4238,4978,Sedang
146,2011-05-26,Summer,2011,May,0,Thursday,1,1,0.8089383088571911,0.7555768610801621,0.6966580976863753,0.3654108169252644,758,3919,4677,Sedang
147,2011-05-27,Summer,2011,May,0,Friday,1,1,0.7757111638272947,0.7323694742004214,0.6722365038560412,0.45001075099681226,871,3808,4679,Sedang
148,2011-05-28,Summer,2011,May,0,Saturday,0,1,0.743520731640152,0.7000405866743393,0.7502138817480719,0.4281850936140728,2001,2757,4758,Sedang
149,2011-05-29,Summer,2011,May,0,Sunday,0,1,0.7580583863714129,0.7042029522736413,0.8419023136246786,0.3948827729036948,2355,2433,4788,Sedang
150,2011-05-30,Summer,2011,May,1,Monday,0,1,0.8400895361034002,0.7771093256941476,0.7043701799485861,0.2243655726488044,1549,2549,4098,Sedang
151,2011-05-31,Summer,2011,May,0,Tuesday,1,1,0.8920086635301119,0.8483735927240116,0.6546704370179948,0.183348922106915,673,3309,3982,Sedang
152,2011-06-01,Summer,2011,June,0,Wednesday,1,2,0.8785102137397847,0.8425769965440945,0.6962293059125964,0.38076938379986613,513,3461,3974,Sedang
153,2011-06-02,Summer,2011,June,0,Thursday,1,1,0.8172457181392101,0.7414712853216953,0.31362467866323906,0.5564033576094897,736,4232,4968,Sedang
154,2011-06-03,Summer,2011,June,0,Friday,1,1,0.6988710546036155,0.6669018033504746,0.36418200514138815,0.47566058845369746,898,4414,5312,Tinggi
155,2011-06-04,Summer,2011,June,0,Saturday,0,1,0.7175617909513411,0.6768292618895853,0.4691516709511568,0.2077020429780117,1869,3473,5342,Tinggi
156,2011-06-05,Summer,2011,June,0,Sunday,0,2,0.7341753634662893,0.7058489965692971,0.6709511568123393,0.2397591859176167,1685,3221,4906,Sedang
157,2011-06-06,Summer,2011,June,0,Monday,1,1,0.7715568361617401,0.7124830538820918,0.6169665809768637,0.20513334843764208,673,3875,4548,Sedang
158,2011-06-07,Summer,2011,June,0,Tuesday,1,1,0.8079003499653474,0.7572334064558539,0.6148246786632391,0.34101440344955475,763,4070,4833,Sedang
159,2011-06-08,Summer,2011,June,0,Wednesday,1,1,0.8930466224219555,0.8508623486925629,0.6396740359897173,0.2358937747914585,676,3725,4401,Sedang
160,2011-06-09,Summer,2011,June,0,Thursday,1,2,0.9335432178420273,0.8906351893292224,0.5844041131105397,0.2628300210711291,563,3352,3915,Sedang
161,2011-06-10,Summer,2011,June,0,Friday,1,1,0.8670876817331447,0.8193761728393765,0.6221079691516709,0.2435977968599668,815,3771,4586,Sedang
162,2011-06-11,Summer,2011,June,0,Saturday,0,1,0.8297062090376938,0.7862268884354755,0.673093059125964,0.27306975283839713,1729,3237,4966,Sedang
163,2011-06-12,Summer,2011,June,0,Sunday,0,1,0.789209613617622,0.7406613895239125,0.769066323907455,0.2910403068579815,1467,2993,4460,Sedang
164,2011-06-13,Summer,2011,June,0,Monday,1,1,0.7175617909513411,0.6859625762509673,0.5085686375321337,0.5833334192313585,863,4157,5020,Tinggi
165,2011-06-14,Summer,2011,June,0,Tuesday,1,1,0.6791423593640464,0.6726944616253782,0.5214221079691516,0.5089794015848805,727,4164,4891,Sedang
166,2011-06-15,Summer,2011,June,0,Wednesday,1,1,0.7071784638856345,0.6677169496882753,0.4850046272493573,0.29999775290766534,769,4411,5180,Tinggi
167,2011-06-16,Summer,2011,June,0,Thursday,1,2,0.7092543816693221,0.677682474642517,0.7077974293059125,0.37948915963488256,545,3222,3767,Sedang
168,2011-06-17,Summer,2011,June,0,Friday,1,1,0.7352145684072229,0.6842942171602349,0.7566406169665809,0.2487001395464955,863,3981,4844,Sedang
169,2011-06-18,Summer,2011,June,0,Saturday,0,1,0.7944019001750201,0.7414870369417494,0.6893748071979434,0.20000420556730528,1807,3312,5119,Tinggi
170,2011-06-19,Summer,2011,June,0,Sunday,0,2,0.797517022899641,0.7439705423702827,0.685518766066838,0.16411669789575264,1639,3105,4744,Sedang
171,2011-06-20,Summer,2011,June,0,Monday,1,2,0.7175617909513411,0.677682474642517,0.7673521850899743,0.2743582232137832,699,3311,4010,Sedang
172,2011-06-21,Fall,2011,June,0,Tuesday,1,2,0.7746719588863611,0.733206935333299,0.7922025706940874,0.3064153661533882,774,4061,4835,Sedang
173,2011-06-22,Fall,2011,June,0,Wednesday,1,1,0.8400895361034002,0.8069547077916963,0.7275064267352185,0.3089655067203523,661,3846,4507,Sedang
174,2011-06-23,Fall,2011,June,0,Thursday,1,2,0.8338592906541583,0.8069599583317144,0.7232215938303341,0.4461453398706541,746,4044,4790,Sedang
175,2011-06-24,Fall,2011,June,0,Friday,1,1,0.8286682501458501,0.7580643044137089,0.589545501285347,0.41155454878489,969,4022,4991,Sedang
176,2011-06-25,Fall,2011,June,0,Saturday,0,1,0.7923247363422428,0.7406456379038584,0.49700051413881746,0.3858799726967974,1782,3420,5202,Tinggi
177,2011-06-26,Fall,2011,June,0,Sunday,0,1,0.7736339999945174,0.7331846205382223,0.5278488431876607,0.1487237030927206,1920,3385,5305,Tinggi
178,2011-06-27,Fall,2011,June,0,Monday,1,2,0.7767491227191383,0.7323642236604034,0.6769491002570693,0.17563665382800425,854,3854,4708,Sedang
